Frequency (Hz)	Level (dB)
283.203125	-39.651894
284.179688	-39.347408
285.156250	-38.927467
286.132812	-38.432648
287.109375	-38.060638
288.085938	-38.997002
289.062500	-39.933308
290.039062	-39.822964
291.015625	-38.727131
291.992188	-38.886040
292.968750	-38.213554
293.945312	-37.803490
294.921875	-38.357780
295.898438	-38.774265
296.875000	-38.358303
297.851562	-37.710178
298.828125	-37.646976
299.804688	-38.665089
300.781250	-39.940704
301.757812	-37.752098
302.734375	-36.269215
303.710938	-36.504841
304.687500	-37.075500
305.664062	-38.366531
306.640625	-37.632320
307.617188	-37.847237
308.593750	-39.525520
309.570312	-36.888275
310.546875	-36.987373
311.523438	-35.929985
312.500000	-35.815353
313.476562	-35.912556
314.453125	-35.782410
315.429688	-34.493576
316.406250	-33.840679
317.382812	-35.401169
318.359375	-35.510685
319.335938	-33.403141
320.312500	-34.664566
321.289062	-35.164635
322.265625	-34.269257
323.242188	-34.837059
324.218750	-35.529411
325.195312	-34.675652
326.171875	-35.024902
327.148438	-34.089058
328.125000	-33.661201
329.101562	-33.496574
330.078125	-33.392918
331.054688	-34.554939
332.031250	-35.511684
333.007812	-33.328228
333.984375	-33.270920
334.960938	-32.926918
335.937500	-32.599991
336.914062	-33.746597
337.890625	-33.307877
338.867188	-33.090961
339.843750	-33.168179
340.820312	-33.443619
341.796875	-34.360344
342.773438	-34.289356
343.750000	-33.600277
344.726562	-34.131310
345.703125	-33.485165
346.679688	-33.375660
347.656250	-33.250599
348.632812	-34.602676
349.609375	-33.789200
350.585938	-34.367584
351.562500	-35.179123
352.539062	-35.666935
353.515625	-33.753773
354.492188	-34.145496
355.468750	-34.711693
356.445312	-35.670891
357.421875	-34.763935
358.398438	-33.472996
359.375000	-32.864025
360.351562	-34.607384
361.328125	-33.423893
362.304688	-32.835217
363.281250	-33.166294
364.257812	-34.102570
365.234375	-34.790455
366.210938	-33.643436
367.187500	-33.883282
368.164062	-34.349720
369.140625	-34.627762
370.117188	-33.965260
371.093750	-33.609489
372.070312	-34.592621
373.046875	-34.438419
374.023438	-33.854595
375.000000	-33.654282
375.976562	-35.233658
376.953125	-34.106636
377.929688	-33.734631
378.906250	-34.706799
379.882812	-34.064560
380.859375	-33.193268
381.835938	-34.740570
382.812500	-35.120464
383.789062	-35.201370
384.765625	-34.410976
385.742188	-35.520401
386.718750	-35.416355
387.695312	-35.305149
388.671875	-33.935745
389.648438	-35.108486
390.625000	-34.739620
391.601562	-35.769875
392.578125	-34.279434
393.554688	-34.794449
394.531250	-34.595791
395.507812	-34.143742
396.484375	-33.918724
397.460938	-33.094479
398.437500	-34.110752
399.414062	-34.862034
400.390625	-34.902527
401.367188	-33.947254
402.343750	-33.174557
403.320312	-33.496075
404.296875	-34.025410
405.273438	-34.503941
406.250000	-33.805668
407.226562	-35.531288
408.203125	-36.264343
409.179688	-34.189655
410.156250	-35.160294
411.132812	-34.596996
412.109375	-35.599995
413.085938	-35.597118
414.062500	-35.142651
415.039062	-34.812416
416.015625	-35.829380
416.992188	-36.131630
417.968750	-38.369865
418.945312	-37.959827
419.921875	-39.171593
420.898438	-39.972427
421.875000	-37.895393
422.851562	-38.380821
423.828125	-38.878666
424.804688	-39.438904
425.781250	-41.215500
426.757812	-42.903599
427.734375	-42.957447
428.710938	-43.763672
429.687500	-42.544098
430.664062	-43.457943
431.640625	-43.117462
432.617188	-44.928383
433.593750	-46.102032
434.570312	-44.776859
435.546875	-46.212570
436.523438	-45.568520
437.500000	-44.823788
438.476562	-45.730156
439.453125	-46.077114
440.429688	-46.298073
441.406250	-46.786415
442.382812	-47.337818
443.359375	-46.724804
444.335938	-47.355991
445.312500	-48.281055
446.289062	-47.276691
447.265625	-47.739334
448.242188	-48.619278
449.218750	-48.468636
450.195312	-47.194675
451.171875	-48.665249
452.148438	-49.071083
453.125000	-49.777752
454.101562	-47.694248
455.078125	-48.218929
456.054688	-50.617130
457.031250	-51.709530
458.007812	-51.543217
458.984375	-51.718517
459.960938	-51.488701
460.937500	-49.795341
461.914062	-50.714848
462.890625	-51.305328
463.867188	-51.328625
464.843750	-51.447021
465.820312	-51.263840
466.796875	-51.232731
467.773438	-50.084156
468.750000	-50.858562
469.726562	-51.080357
470.703125	-50.459911
471.679688	-50.477272
472.656250	-51.093998
473.632812	-51.578426
474.609375	-51.933670
475.585938	-51.988209
476.562500	-52.556171
477.539062	-50.621658
478.515625	-50.302147
479.492188	-52.066879
480.468750	-52.071709
481.445312	-51.483646
482.421875	-51.751160
483.398438	-51.389629
484.375000	-52.796947
485.351562	-51.446270
486.328125	-50.761642
487.304688	-51.543095
488.281250	-50.315308
489.257812	-51.001244
490.234375	-52.501064
491.210938	-51.160038
492.187500	-50.567955
493.164062	-51.285809
494.140625	-50.469063
495.117188	-50.054272
496.093750	-51.903954
497.070312	-52.158730
498.046875	-51.196743
499.023438	-49.716583
500.000000	-49.720837
500.976562	-48.386627
501.953125	-48.906666
502.929688	-48.169373
503.906250	-49.000923
504.882812	-47.563400
505.859375	-46.841484
506.835938	-48.086235
507.812500	-47.650433
508.789062	-46.198849
509.765625	-45.225693
510.742188	-45.452885
511.718750	-45.682079
512.695312	-45.757671
513.671875	-44.537331
514.648438	-45.208305
515.625000	-45.619186
516.601562	-46.226273
517.578125	-45.533932
518.554688	-44.137329
519.531250	-43.511459
520.507812	-43.540817
521.484375	-42.759518
522.460938	-40.761086
523.437500	-41.283245
524.414062	-41.529980
525.390625	-40.408554
526.367188	-40.593357
527.343750	-40.593151
528.320312	-41.218994
529.296875	-40.347530
530.273438	-39.565102
531.250000	-38.846836
532.226562	-40.107925
533.203125	-40.298389
534.179688	-41.019695
535.156250	-39.779213
536.132812	-38.135330
537.109375	-38.689827
538.085938	-39.352680
539.062500	-39.122597
540.039062	-39.670876
541.015625	-38.990463
541.992188	-39.148514
542.968750	-39.862888
543.945312	-38.257431
544.921875	-39.934246
545.898438	-39.799408
546.875000	-41.093674
547.851562	-41.447556
548.828125	-41.429390
549.804688	-42.115395
550.781250	-42.284557
551.757812	-42.444637
552.734375	-43.749073
553.710938	-42.371090
554.687500	-42.941582
555.664062	-44.355148
556.640625	-43.051937
557.617188	-44.373688
558.593750	-45.051792
559.570312	-46.150143
560.546875	-46.213909
561.523438	-45.689232
562.500000	-44.698505
563.476562	-44.260578
564.453125	-45.766018
565.429688	-45.925690
566.406250	-45.849838
567.382812	-47.580025
568.359375	-48.018112
569.335938	-46.643871
570.312500	-47.829395
571.289062	-46.405247
572.265625	-47.761524
573.242188	-46.183804
574.218750	-46.169403
575.195312	-46.464470
576.171875	-46.620686
577.148438	-47.258724
578.125000	-46.830494
579.101562	-47.704781
580.078125	-47.497387
581.054688	-46.180340
582.031250	-45.774853
583.007812	-46.243839
583.984375	-47.524380
584.960938	-47.545822
585.937500	-46.970512
586.914062	-46.182484
587.890625	-47.826767
588.867188	-48.525883
589.843750	-47.956909
590.820312	-46.356537
591.796875	-45.799938
592.773438	-46.174179
593.750000	-46.759621
594.726562	-46.091972
595.703125	-48.356167
596.679688	-48.468891
597.656250	-48.776775
598.632812	-48.570938
599.609375	-48.083176
600.585938	-47.574440
601.562500	-47.904167
602.539062	-47.178284
603.515625	-46.600780
604.492188	-47.754265
605.468750	-48.435905
606.445312	-47.952850
607.421875	-48.720390
608.398438	-47.485031
609.375000	-48.058147
610.351562	-49.012154
611.328125	-49.959747
612.304688	-48.496136
613.281250	-48.526474
614.257812	-48.079380
615.234375	-47.059097
616.210938	-48.739849
617.187500	-48.816704
618.164062	-47.254272
619.140625	-48.196373
620.117188	-48.467937
621.093750	-47.984547
622.070312	-49.305370
623.046875	-49.276363
624.023438	-49.462612
625.000000	-48.705078
625.976562	-49.177177
626.953125	-48.613976
627.929688	-48.332386
628.906250	-48.352562
629.882812	-48.336418
630.859375	-49.607735
631.835938	-48.584850
632.812500	-48.146221
633.789062	-48.191322
634.765625	-48.370167
635.742188	-49.289471
636.718750	-50.216232
637.695312	-48.319828
638.671875	-47.288509
639.648438	-47.909103
640.625000	-47.672997
641.601562	-47.294415
642.578125	-47.093010
643.554688	-47.725983
644.531250	-47.259842
645.507812	-48.454105
646.484375	-47.174660
647.460938	-46.832996
648.437500	-47.608349
649.414062	-47.552700
650.390625	-47.189373
651.367188	-47.473465
652.343750	-46.822289
653.320312	-46.267750
654.296875	-46.810390
655.273438	-46.421795
656.250000	-46.843948
657.226562	-48.000935
658.203125	-45.423424
659.179688	-44.794071
660.156250	-45.013054
661.132812	-44.468323
662.109375	-44.586681
663.085938	-45.141018
664.062500	-46.344250
665.039062	-46.497517
666.015625	-45.510670
