Frequency (Hz)	Level (dB)
283.203125	-34.538681
284.179688	-35.919975
285.156250	-34.146694
286.132812	-33.795063
287.109375	-34.979702
288.085938	-34.436024
289.062500	-35.176991
290.039062	-37.325481
291.015625	-36.460983
291.992188	-35.305389
292.968750	-35.438274
293.945312	-34.712906
294.921875	-34.910336
295.898438	-36.248440
296.875000	-36.708836
297.851562	-36.087650
298.828125	-36.835476
299.804688	-37.931213
300.781250	-38.325954
301.757812	-37.456730
302.734375	-36.171650
303.710938	-35.538052
304.687500	-36.540401
305.664062	-37.165840
306.640625	-38.212345
307.617188	-38.534519
308.593750	-38.418961
309.570312	-37.571815
310.546875	-38.601795
311.523438	-37.495457
312.500000	-37.998596
313.476562	-38.649921
314.453125	-38.460445
315.429688	-38.010269
316.406250	-36.900581
317.382812	-38.459980
318.359375	-37.093483
319.335938	-37.110882
320.312500	-38.112942
321.289062	-39.039268
322.265625	-37.592827
323.242188	-38.694290
324.218750	-38.726727
325.195312	-39.163296
326.171875	-40.162189
327.148438	-39.180729
328.125000	-38.780556
329.101562	-39.351112
330.078125	-37.992409
331.054688	-39.331669
332.031250	-38.871849
333.007812	-37.261299
333.984375	-38.362934
334.960938	-38.906212
335.937500	-37.817081
336.914062	-37.952831
337.890625	-37.261940
338.867188	-37.411709
339.843750	-37.550392
340.820312	-37.991440
341.796875	-38.570145
342.773438	-37.811062
343.750000	-37.645695
344.726562	-38.495319
345.703125	-38.985394
346.679688	-38.531662
347.656250	-38.902618
348.632812	-38.463737
349.609375	-38.376087
350.585938	-37.336124
351.562500	-37.565792
352.539062	-38.323311
353.515625	-37.867439
354.492188	-37.246422
355.468750	-37.955933
356.445312	-38.515179
357.421875	-37.671654
358.398438	-38.908424
359.375000	-38.269737
360.351562	-37.689384
361.328125	-36.856792
362.304688	-36.278309
363.281250	-36.987061
364.257812	-37.266811
365.234375	-38.477020
366.210938	-37.755783
367.187500	-37.209011
368.164062	-37.276577
369.140625	-36.795650
370.117188	-35.819134
371.093750	-37.123447
372.070312	-36.539459
373.046875	-36.244583
374.023438	-37.299603
375.000000	-36.652187
375.976562	-36.771835
376.953125	-36.945652
377.929688	-36.347469
378.906250	-36.978928
379.882812	-35.236958
380.859375	-35.536377
381.835938	-37.267601
382.812500	-36.828892
383.789062	-37.348728
384.765625	-36.890656
385.742188	-36.699467
386.718750	-38.197083
387.695312	-38.067451
388.671875	-36.130920
389.648438	-36.780674
390.625000	-37.184200
391.601562	-37.284691
392.578125	-37.018848
393.554688	-38.317429
394.531250	-37.971359
395.507812	-36.706055
396.484375	-37.469681
397.460938	-36.635872
398.437500	-36.458839
399.414062	-37.948956
400.390625	-38.831215
401.367188	-37.428993
402.343750	-36.803772
403.320312	-37.611076
404.296875	-37.141232
405.273438	-38.434895
406.250000	-37.345356
407.226562	-39.152481
408.203125	-39.420181
409.179688	-38.397514
410.156250	-38.572941
411.132812	-38.496925
412.109375	-38.493763
413.085938	-38.027199
414.062500	-38.649662
415.039062	-37.116978
416.015625	-37.037216
416.992188	-38.361053
417.968750	-39.148533
418.945312	-39.215057
419.921875	-40.758667
420.898438	-40.149162
421.875000	-38.505077
422.851562	-38.653461
423.828125	-38.164223
424.804688	-39.404758
425.781250	-40.920288
426.757812	-41.436451
427.734375	-41.611233
428.710938	-41.155193
429.687500	-40.369892
430.664062	-41.062538
431.640625	-40.877728
432.617188	-41.832596
433.593750	-41.895191
434.570312	-41.544987
435.546875	-42.894695
436.523438	-41.055164
437.500000	-40.768810
438.476562	-40.528679
439.453125	-40.023735
440.429688	-41.326488
441.406250	-41.097843
442.382812	-41.116726
443.359375	-40.425694
444.335938	-41.307423
445.312500	-41.601974
446.289062	-41.231388
447.265625	-42.060802
448.242188	-41.245644
449.218750	-41.095631
450.195312	-41.661686
451.171875	-41.553165
452.148438	-42.860470
453.125000	-41.740150
454.101562	-41.581669
455.078125	-41.752438
456.054688	-42.771740
457.031250	-43.648430
458.007812	-42.862453
458.984375	-42.984066
459.960938	-41.286552
460.937500	-41.048603
461.914062	-43.382080
462.890625	-42.056168
463.867188	-41.171566
464.843750	-42.578396
465.820312	-42.842415
466.796875	-42.020702
467.773438	-40.069660
468.750000	-40.846340
469.726562	-40.174007
470.703125	-41.084934
471.679688	-41.059746
472.656250	-41.149254
473.632812	-41.131950
474.609375	-43.490177
475.585938	-42.438160
476.562500	-41.063786
477.539062	-41.320503
478.515625	-40.249817
479.492188	-41.777508
480.468750	-42.347088
481.445312	-41.200939
482.421875	-41.963757
483.398438	-42.763931
484.375000	-41.562157
485.351562	-41.554031
486.328125	-42.220814
487.304688	-41.336624
488.281250	-40.418964
489.257812	-40.153198
490.234375	-41.988388
491.210938	-41.526768
492.187500	-39.598274
493.164062	-41.278797
494.140625	-41.680981
495.117188	-41.975563
496.093750	-43.476707
497.070312	-41.823307
498.046875	-40.612389
499.023438	-39.439342
500.000000	-40.660812
500.976562	-39.588451
501.953125	-40.730003
502.929688	-40.439281
503.906250	-39.918201
504.882812	-39.218323
505.859375	-39.014668
506.835938	-40.458511
507.812500	-40.124992
508.789062	-38.929234
509.765625	-38.405075
510.742188	-38.414249
511.718750	-38.568592
512.695312	-40.529884
513.671875	-39.631695
