Frequency (Hz)	Level (dB)
283.203125	-60.687893
284.179688	-60.503796
285.156250	-59.334778
286.132812	-58.746410
287.109375	-58.957664
288.085938	-58.219868
289.062500	-59.330139
290.039062	-59.327473
291.015625	-59.266315
291.992188	-58.945282
292.968750	-58.740219
293.945312	-58.054527
294.921875	-57.110752
295.898438	-58.955349
296.875000	-59.198051
297.851562	-57.545071
298.828125	-58.242107
299.804688	-59.356602
300.781250	-59.755253
301.757812	-58.488411
302.734375	-57.229401
303.710938	-55.816662
304.687500	-57.743317
305.664062	-59.112160
306.640625	-58.951954
307.617188	-59.686596
308.593750	-58.509987
309.570312	-58.200905
310.546875	-58.248260
311.523438	-56.959557
312.500000	-57.163204
313.476562	-58.625462
314.453125	-57.567326
315.429688	-57.521412
316.406250	-57.466606
317.382812	-57.824902
318.359375	-57.106712
319.335938	-56.962292
320.312500	-57.167789
321.289062	-57.497623
322.265625	-57.458920
323.242188	-57.762600
324.218750	-57.532238
325.195312	-57.228848
326.171875	-57.898254
327.148438	-56.912140
328.125000	-57.240063
329.101562	-57.098717
330.078125	-57.424637
331.054688	-57.960899
332.031250	-57.370480
333.007812	-56.312954
333.984375	-57.393528
334.960938	-55.920750
335.937500	-55.920612
336.914062	-56.103527
337.890625	-56.242451
338.867188	-56.997570
339.843750	-56.220905
340.820312	-58.018158
341.796875	-58.114403
342.773438	-58.782944
343.750000	-56.696293
344.726562	-56.378315
345.703125	-57.908791
346.679688	-57.191784
347.656250	-58.275768
348.632812	-58.093201
349.609375	-57.631878
350.585938	-57.275238
351.562500	-58.285583
352.539062	-58.192158
353.515625	-57.542103
354.492188	-56.908112
355.468750	-57.966064
356.445312	-59.225834
357.421875	-58.193134
358.398438	-57.398056
359.375000	-58.452477
360.351562	-57.834869
361.328125	-57.511974
362.304688	-57.162682
363.281250	-57.106045
364.257812	-57.204391
365.234375	-58.046944
366.210938	-57.451241
367.187500	-58.255653
368.164062	-57.828873
369.140625	-57.950306
370.117188	-56.735741
371.093750	-57.297058
372.070312	-56.322563
373.046875	-57.721794
374.023438	-58.212105
375.000000	-56.859310
375.976562	-56.730152
376.953125	-57.924286
377.929688	-57.679733
378.906250	-57.316219
379.882812	-56.818531
380.859375	-56.757492
381.835938	-57.965252
382.812500	-58.589951
383.789062	-58.172058
384.765625	-57.386368
385.742188	-58.758751
386.718750	-58.765591
387.695312	-58.720692
388.671875	-57.880569
389.648438	-57.688934
390.625000	-58.442860
391.601562	-58.663982
392.578125	-57.761982
393.554688	-58.796734
394.531250	-57.788460
395.507812	-56.853336
396.484375	-57.677155
397.460938	-56.758327
398.437500	-57.041779
399.414062	-58.402874
400.390625	-58.892609
401.367188	-57.037811
402.343750	-56.196926
403.320312	-56.810310
404.296875	-57.302711
405.273438	-58.171738
406.250000	-57.492516
407.226562	-59.063221
408.203125	-59.134960
409.179688	-57.137730
410.156250	-57.715019
411.132812	-57.845837
412.109375	-57.167042
413.085938	-56.898758
414.062500	-56.940098
415.039062	-55.363670
416.015625	-55.531101
416.992188	-56.725945
417.968750	-58.385311
418.945312	-57.951366
419.921875	-58.473244
420.898438	-57.639442
421.875000	-56.198120
422.851562	-56.332218
423.828125	-55.902760
424.804688	-56.793346
425.781250	-57.762474
426.757812	-58.118454
427.734375	-58.342686
428.710938	-58.468853
