Frequency (Hz)	Level (dB)
283.203125	-36.337097
284.179688	-35.710320
285.156250	-35.406387
286.132812	-35.140980
287.109375	-35.087734
288.085938	-36.298328
289.062500	-38.470497
290.039062	-37.606812
291.015625	-36.728573
291.992188	-37.545666
292.968750	-37.273148
293.945312	-36.614689
294.921875	-36.512947
295.898438	-37.279816
296.875000	-37.897861
297.851562	-36.936279
298.828125	-38.378208
299.804688	-38.846317
300.781250	-39.226639
301.757812	-38.256809
302.734375	-37.069534
303.710938	-36.816174
304.687500	-37.521683
305.664062	-38.343624
306.640625	-37.977108
307.617188	-39.108509
308.593750	-39.167828
309.570312	-38.460186
310.546875	-38.379860
311.523438	-36.371094
312.500000	-36.851620
313.476562	-37.751911
314.453125	-37.432312
315.429688	-37.562988
316.406250	-37.250027
317.382812	-39.044685
318.359375	-37.032082
319.335938	-35.598637
320.312500	-36.428646
321.289062	-36.984863
322.265625	-35.973160
323.242188	-36.192837
324.218750	-36.698265
325.195312	-36.663738
326.171875	-37.980022
327.148438	-36.952404
328.125000	-36.740551
329.101562	-36.338074
330.078125	-35.149158
331.054688	-35.996208
332.031250	-36.862358
333.007812	-35.896481
333.984375	-35.526157
334.960938	-35.564907
335.937500	-35.087997
336.914062	-34.808830
337.890625	-34.533634
338.867188	-35.714211
339.843750	-35.440506
340.820312	-36.602585
341.796875	-35.507980
342.773438	-34.095600
343.750000	-34.419521
344.726562	-35.764938
345.703125	-34.777760
346.679688	-34.761868
347.656250	-34.145504
348.632812	-35.670864
349.609375	-35.529041
350.585938	-34.494267
351.562500	-35.354435
352.539062	-35.892807
353.515625	-33.332962
354.492188	-34.847630
355.468750	-35.066517
356.445312	-36.117218
357.421875	-34.708244
358.398438	-34.212521
359.375000	-34.218746
360.351562	-35.773529
361.328125	-33.433727
362.304688	-34.004639
363.281250	-33.841660
364.257812	-34.972343
365.234375	-34.452114
366.210938	-33.503716
367.187500	-34.246979
368.164062	-33.383617
369.140625	-34.316807
370.117188	-33.788265
371.093750	-33.339596
372.070312	-34.455856
373.046875	-34.254932
374.023438	-34.473190
375.000000	-34.530846
375.976562	-34.314484
376.953125	-33.806236
377.929688	-33.302963
378.906250	-33.750420
379.882812	-33.636566
380.859375	-33.394676
381.835938	-34.378258
382.812500	-34.752052
383.789062	-34.996105
384.765625	-34.959984
385.742188	-35.404816
386.718750	-34.893631
387.695312	-35.086304
388.671875	-33.794724
389.648438	-34.565025
390.625000	-35.311783
391.601562	-35.340168
392.578125	-35.504650
393.554688	-35.309444
394.531250	-34.519318
395.507812	-34.343666
396.484375	-34.883949
397.460938	-33.431351
398.437500	-34.198616
399.414062	-35.515137
400.390625	-36.288574
401.367188	-35.598125
402.343750	-33.621449
403.320312	-33.066021
404.296875	-34.021076
405.273438	-34.244846
406.250000	-33.883518
407.226562	-36.159725
408.203125	-34.814465
409.179688	-33.508869
410.156250	-33.967197
411.132812	-33.741020
412.109375	-35.125568
413.085938	-34.863632
414.062500	-34.158684
415.039062	-33.640995
416.015625	-34.408043
416.992188	-34.615746
417.968750	-35.904327
418.945312	-35.562626
419.921875	-36.207458
420.898438	-36.572346
421.875000	-34.496559
422.851562	-34.939159
423.828125	-34.663277
424.804688	-35.335693
425.781250	-36.561947
426.757812	-39.183929
427.734375	-37.273243
428.710938	-37.553028
429.687500	-36.990753
430.664062	-37.127823
431.640625	-35.933910
432.617188	-37.578197
433.593750	-37.517998
434.570312	-37.081104
435.546875	-37.923828
436.523438	-37.631844
437.500000	-36.714314
438.476562	-36.974510
439.453125	-35.832310
440.429688	-35.840954
441.406250	-36.315224
442.382812	-36.313839
443.359375	-36.332748
444.335938	-36.104752
445.312500	-36.666111
446.289062	-36.778397
447.265625	-36.048801
448.242188	-36.087250
449.218750	-36.973949
450.195312	-38.110851
451.171875	-37.634876
452.148438	-37.449081
453.125000	-37.291351
454.101562	-36.087151
455.078125	-36.213417
456.054688	-36.578949
457.031250	-36.684868
458.007812	-37.591942
458.984375	-37.839779
459.960938	-36.396248
460.937500	-36.705975
461.914062	-36.997246
462.890625	-36.811325
463.867188	-35.707478
464.843750	-36.166351
465.820312	-35.220284
466.796875	-35.617599
467.773438	-35.014290
468.750000	-35.888695
469.726562	-34.929630
470.703125	-34.568317
471.679688	-32.692806
472.656250	-33.669628
473.632812	-34.306252
474.609375	-36.170700
475.585938	-34.342030
476.562500	-34.604450
477.539062	-35.244987
478.515625	-34.036945
479.492188	-35.646675
480.468750	-34.678768
481.445312	-34.483074
482.421875	-35.265522
483.398438	-35.904068
484.375000	-36.900200
485.351562	-35.625645
486.328125	-36.008579
487.304688	-36.980232
488.281250	-37.374447
489.257812	-37.077953
490.234375	-37.563587
491.210938	-36.545593
492.187500	-36.541935
493.164062	-38.619061
494.140625	-38.768730
495.117188	-39.883430
496.093750	-41.741798
497.070312	-41.213783
498.046875	-40.444771
499.023438	-39.518764
500.000000	-39.250549
500.976562	-39.176533
501.953125	-40.407501
502.929688	-40.620209
503.906250	-42.078823
504.882812	-40.996365
505.859375	-40.596439
506.835938	-41.945225
507.812500	-42.330074
508.789062	-43.432686
509.765625	-42.096573
510.742188	-41.414547
511.718750	-42.533062
512.695312	-44.296234
513.671875	-44.813526
514.648438	-44.534061
515.625000	-44.866829
516.601562	-46.087063
517.578125	-46.314461
518.554688	-45.974739
519.531250	-46.447338
520.507812	-47.881096
521.484375	-47.146084
522.460938	-44.921593
523.437500	-45.416203
524.414062	-45.939327
525.390625	-45.537983
526.367188	-45.662502
527.343750	-45.978222
528.320312	-47.730282
529.296875	-47.934677
530.273438	-49.066265
531.250000	-48.152794
532.226562	-49.388802
533.203125	-49.195019
534.179688	-49.595875
535.156250	-49.954788
536.132812	-47.798534
537.109375	-48.420967
538.085938	-48.988266
539.062500	-48.837215
540.039062	-48.754654
541.015625	-49.911781
541.992188	-50.443024
542.968750	-50.780125
543.945312	-49.938763
544.921875	-50.622402
545.898438	-50.060116
546.875000	-49.800987
547.851562	-50.183151
548.828125	-51.827812
549.804688	-51.639473
550.781250	-51.844315
551.757812	-50.702400
552.734375	-52.596207
553.710938	-51.499699
554.687500	-50.404793
555.664062	-51.168823
556.640625	-51.607986
557.617188	-52.467915
558.593750	-53.481083
559.570312	-54.409969
560.546875	-53.384529
561.523438	-51.991779
562.500000	-52.036983
563.476562	-51.884716
564.453125	-51.814770
565.429688	-52.917480
566.406250	-53.025833
567.382812	-53.402103
568.359375	-53.844955
569.335938	-53.538120
570.312500	-53.416443
571.289062	-52.414925
572.265625	-53.084488
573.242188	-52.090591
574.218750	-52.065495
575.195312	-52.070660
576.171875	-52.235077
577.148438	-53.028282
578.125000	-52.907944
579.101562	-52.472916
580.078125	-52.069782
581.054688	-51.471149
582.031250	-51.529289
583.007812	-51.973473
583.984375	-52.333187
584.960938	-52.217865
585.937500	-51.467392
586.914062	-50.381989
587.890625	-51.467041
588.867188	-52.738312
589.843750	-51.843433
590.820312	-49.062035
591.796875	-48.874512
592.773438	-49.221607
593.750000	-50.094551
